name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;40;0;17;3135;974;3135;1021;0
header;110;101;110;147;1821;147;1821;101
A;952;772;952;777;958;777;958;772
A;412;1493;412;1498;418;1498;418;1493
A;412;1505;412;1510;418;1510;418;1505
B;897;1532;897;1558;913;1558;913;1532
A;988;1602;988;1602;989;1602;989;1602
A;272;1799;272;1799;273;1799;273;1799
A;793;1870;793;1878;801;1878;801;1870
A;244;1963;244;1975;251;1975;251;1963
B;803;2147;803;2158;811;2158;811;2147
A;946;2415;946;2415;946;2415;946;2415
A;943;2426;943;2427;944;2427;944;2426
A;926;2508;926;2511;930;2511;930;2508
A;940;2552;940;2554;943;2554;943;2552
A;401;2558;401;2570;408;2570;408;2558
A;460;2831;460;2845;468;2845;468;2831
